2026-09-25T12:29:03.073753343Z [2026-09-25 12:29:03] server_args=ServerArgs(model_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_mode='auto', tokenizer_backend='huggingface', tokenizer_worker_num=1, detokeni
2026-09-25T12:29:04.770938759Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:04.967117447Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:05.829204094Z [2026-09-25 12:29:05] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:08.744374481Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:08.807645762Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:09.133430729Z [2026-09-25 12:29:09] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:37:23.403651432Z [2026-09-25 12:37:23] Load weight end. elapsed=493.29 s, type=Qwen4ExpForConditionalGeneration, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=33.41 GB, mem usage=80.67 GB.
2026-09-25T12:38:53.900992488Z [2026-09-25 12:38:53] Load weight end. elapsed=87.34 s, type=Qwen4ExpForCausalLMMTP, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=28.79 GB, mem usage=4.40 GB.
2026-09-25T12:38:56.747988822Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 1.45 GB, V size: 1.45 GB
2026-09-25T12:38:56.750574719Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 0.12 GB, V size: 0.12 GB
2026-09-25T12:39:39.949538791Z [2026-09-25 12:39:39] max_total_num_tokens=126976, chunked_prefill_size=4096, max_prefill_tokens=16384, max_running_requests=8, context_len=262144, available_gpu_mem=19.98 GB
2026-09-25T12:39:47.626735937Z [2026-09-25 12:39:47] INFO:     Application startup complete.
2026-09-25T12:40:25.813362071Z [2026-09-25 12:40:25] The server is fired up and ready to roll!
2026-09-25T12:41:13.328913065Z [2026-09-25 12:41:13] Decode batch, #running-req: 1, #full token: 20096, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1.24, #queue-req: 0
2026-09-25T12:42:09.783648145Z [2026-09-25 12:42:09] Decode batch, #running-req: 1, #full token: 20032, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 3.10, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 2.20, #queue-req: 0
2026-09-25T12:43:06.181064871Z [2026-09-25 12:43:06] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.08, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 2.18, #queue-req: 0
2026-09-25T12:44:02.785319836Z [2026-09-25 12:44:02] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 2.73, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1.93, #queue-req: 0
2026-09-25T12:44:59.305174284Z [2026-09-25 12:44:59] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.02, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 2.14, #queue-req: 0
2026-09-25T12:45:05.425395975Z [2026-09-25 12:45:05] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 23.53, #queue-req: 0
2026-09-25T12:45:09.946138265Z [2026-09-25 12:45:09] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.85, accept rate: 0.95, cuda graph: True, gen throughput (token/s): 34.06, #queue-req: 0
2026-09-25T12:45:14.748579199Z [2026-09-25 12:45:14] Decode batch, #running-req: 1, #full token: 704, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.17, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 26.44, #queue-req: 0
2026-09-25T12:45:19.721740807Z [2026-09-25 12:45:19] Decode batch, #running-req: 1, #full token: 704, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.10, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 24.93, #queue-req: 0
2026-09-25T12:45:24.332472372Z [2026-09-25 12:45:24] Decode batch, #running-req: 1, #full token: 704, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.85, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 24.73, #queue-req: 0
2026-09-25T12:45:28.485162783Z [2026-09-25 12:45:28] Decode batch, #running-req: 1, #full token: 768, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.50, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 33.71, #queue-req: 0
2026-09-25T12:45:32.994592611Z [2026-09-25 12:45:32] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.80, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 24.84, #queue-req: 0
2026-09-25T12:45:49.747686699Z [2026-09-25 12:45:49] Decode batch, #running-req: 1, #full token: 20672, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 3.35, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 8.00, #queue-req: 0
2026-09-25T12:45:53.839749023Z [2026-09-25 12:45:53] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 28.59, #queue-req: 0
2026-09-25T12:45:57.936232660Z [2026-09-25 12:45:57] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.55, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 34.66, #queue-req: 0
2026-09-25T12:46:01.756935700Z [2026-09-25 12:46:01] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 4, mamba usage: 0.10, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 37.69, #queue-req: 0
